tiers,pos,name,bye,rk,team,sos,ecr_vs_adp,player_id,ppr_rank,avg_draft_pos,pos_diff,ppr_auc_value,avg_auc_value,auc_diff
5,WR,DJ Chark Jr.,7,38,JAC,5,0,3115394,96,114,18,4,2,-2
5,WR,Laviska Shenault Jr.,7,41,JAC,5,-1,4243160,81,98,17,5,3,-2
5,WR,Ja'Marr Chase,10,29,CIN,2,-3,4362628,71,83,12,7,5,-2
5,WR,Antonio Brown,9,40,TB,2,-4,13934,107,111,4,3,2,-1
5,WR,DeVonta Smith,14,39,PHI,3,-6,4241478,86,93,7,5,4,-1
5,TE,Kyle Rudolph,10,34,NYG,3,17,14054,460,169,-291,0,0,0
5,TE,Jack Doyle,14,32,IND,4,11,16504,413,170,-243,0,0,0
5,TE,Chris Herndon,7,33,MIN,2,8,3123050,467,170,-297,0,0,0
5,TE,Will Dissly,9,41,SEA,1,5,3127292,444,170,-274,0,0,0
5,TE,Jimmy Graham,10,31,CHI,1,1,13232,446,169,-277,0,0,0
5,TE,Dalton Schultz,7,35,DAL,2,1,3117256,418,170,-248,0,0,0
5,TE,Donald Parham Jr.,7,39,LAC,3,0,3912092,442,170,-272,0,0,0
5,TE,Mo Alie-Cox,14,38,IND,4,-3,2998565,468,169,-299,0,0,0
5,TE,Jordan Akins,10,40,HOU,4,-13,3128452,366,170,-196,0,0,0
5,TE,Pat Freiermuth,7,36,PIT,5,-17,4361411,461,168,-293,0,0,0
5,TE,Ian Thomas,13,37,CAR,4,,4045305,1098,169,-929,0,0,0
5,RB,James Conner,12,34,ARI,3,3,3045147,118,121,3,2,2,0
5,RB,Kenyan Drake,8,38,LV,2,1,2979843,113,110,-3,2,2,0
5,RB,Javonte Williams,11,27,DEN,5,0,4361579,54,71,17,11,9,-2
5,RB,Chase Edmonds,12,28,ARI,3,0,3119195,48,62,14,14,10,-4
5,RB,Melvin Gordon III,11,30,DEN,5,0,2576434,116,108,-8,2,3,1
5,RB,Trey Sermon,6,31,SF,3,0,4241401,132,127,-5,2,2,0
5,RB,Michael Carter,6,33,NYJ,4,0,4240657,119,129,10,2,1,-1
5,RB,Zack Moss,7,35,BUF,3,0,4035676,114,119,5,2,2,0
5,RB,Ronald Jones II,9,32,TB,0,-3,3912550,131,123,-8,2,2,0
5,RB,AJ Dillon,13,37,GB,0,-3,4239934,117,122,5,2,2,0
5,RB,Raheem Mostert,6,29,SF,3,-4,2576414,101,90,-11,3,5,2
5,RB,Leonard Fournette,9,36,TB,0,-4,3115364,112,98,-14,2,3,1
5,QB,Teddy Bridgewater,11,30,DEN,5,5,16728,386,169,-217,0,0,0
5,QB,Drew Lock,11,33,DEN,5,4,3924327,452,170,-282,0,0,0
5,QB,Mac Jones,14,34,NE,5,2,4241464,384,168,-216,0,0,0
5,QB,Jared Goff,9,29,DET,1,1,3046779,378,169,-209,0,0,0
5,QB,Jimmy Garoppolo,6,32,SF,5,1,16760,430,169,-261,0,0,0
5,QB,Andy Dalton,10,38,CHI,2,0,14012,449,169,-280,0,0,0
5,QB,Taysom Hill,6,31,NO,3,-2,2468609,441,169,-272,0,0,0
5,QB,Tyrod Taylor,10,36,HOU,4,-2,14163,423,170,-253,0,0,0
5,QB,Deshaun Watson,10,37,HOU,4,-13,3122840,431,168,-263,0,0,0
5,K,Greg Joseph,7,30,MIN,0,8,3975763,498,169,-329,0,0,0
5,K,Cody Parkey,13,28,CLE,2,3,17082,2210,169,-2041,0,0,0
5,K,Chase McLaughlin,13,34,CLE,2,-4,3150744,362,169,-193,0,0,0
5,K,Evan McPherson,10,26,CIN,1,-7,4360234,490,169,-321,0,0,0
5,K,Sam Ficken,13,32,TEN,2,-9,2582139,502,169,-333,0,0,0
5,K,Ryan Santoso,13,35,CAR,5,,3040204,492,170,-322,0,0,0
5,DST,Jets D/ST,6,25,NYJ,4,4,-16020,425,170,-255,0,0,0
5,DST,Bengals D/ST,10,30,CIN,3,1,-16004,515,169,-346,0,0,0
5,DST,Falcons D/ST,6,28,ATL,5,0,-16001,429,170,-259,0,0,0
5,DST,Jaguars D/ST,7,27,JAC,2,-1,-16030,518,169,-349,0,0,0
5,DST,Panthers D/ST,13,24,CAR,4,-2,-16029,506,169,-337,0,0,0
5,DST,Texans D/ST,10,29,HOU,2,-2,-16034,520,169,-351,0,0,0
5,DST,Lions D/ST,9,32,DET,5,-2,-16008,519,169,-350,0,0,0
5,DST,Titans D/ST,13,23,TEN,3,-4,-16010,427,169,-258,0,0,0
5,DST,Cowboys D/ST,7,26,DAL,5,-6,-16006,517,169,-348,0,0,0
5,DST,Raiders D/ST,8,31,LV,4,,-16013,516,169,-347,0,0,0
6,WR,Marvin Jones Jr.,7,46,JAC,5,7,15072,98,116,18,4,1,-3
6,WR,DeVante Parker,14,51,MIA,3,7,2576623,145,150,5,2,0,-2
6,WR,Curtis Samuel,9,43,WAS,3,3,3121427,105,123,18,3,1,-2
6,WR,Russell Gage,6,54,ATL,4,3,3115378,196,164,-32,0,0,0
6,WR,Michael Gallup,7,45,DAL,1,2,4036348,84,100,16,5,2,-3
6,WR,Marquise Brown,8,52,BAL,2,2,4241372,102,118,16,3,1,-2
6,WR,Jarvis Landry,13,42,CLE,1,1,16790,104,106,2,3,2,-1
6,WR,Mike Williams,7,44,LAC,3,1,3045138,106,127,21,3,1,-2
6,WR,Michael Pittman Jr.,14,47,IND,5,1,4035687,144,138,-6,2,1,-1
6,WR,Darnell Mooney,10,50,CHI,3,1,4040655,156,152,-4,1,1,0
6,WR,Mecole Hardman,12,53,KC,3,-3,4035004,155,148,-7,1,1,0
6,WR,Jaylen Waddle,14,48,MIA,3,-4,4372016,110,116,6,3,2,-1
6,WR,Michael Thomas,6,49,NO,4,-20,2976316,95,94,-1,4,5,1
6,TE,Harrison Bryant,13,44,CLE,2,9,4040774,469,169,-300,0,0,0
6,TE,Drew Sample,10,46,CIN,2,6,3127310,1036,169,-867,0,0,0
6,TE,Tyler Conklin,7,45,MIN,2,5,3915486,443,170,-273,0,0,0
