"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"29",5,"Raheem Mostert",SF,"6","3 out of 5 stars","-4"
"30",5,"Melvin Gordon III",DEN,"11","5 out of 5 stars","0"
"31",5,"Trey Sermon",SF,"6","3 out of 5 stars","0"
"32",5,"Ronald Jones II",TB,"9","0 out of 5 stars","-3"
"33",5,"Michael Carter",NYJ,"6","4 out of 5 stars","0"
"34",5,"James Conner",ARI,"12","3 out of 5 stars","+3"
"35",5,"Zack Moss",BUF,"7","3 out of 5 stars","0"
"36",5,"Leonard Fournette",TB,"9","0 out of 5 stars","-4"
"37",5,"AJ Dillon",GB,"13","0 out of 5 stars","-3"
"38",5,"Kenyan Drake",LV,"8","2 out of 5 stars","+1"
"39",6,"Jamaal Williams",DET,"9","0 out of 5 stars","+2"
"40",6,"Devin Singletary",BUF,"7","3 out of 5 stars","0"
"41",6,"Nyheim Hines",IND,"14","4 out of 5 stars","+3"
"42",6,"David Johnson",HOU,"10","4 out of 5 stars","-4"
"43",6,"Tony Pollard",DAL,"7","2 out of 5 stars","-1"
"44",6,"Phillip Lindsay",HOU,"10","4 out of 5 stars","+5"
"45",6,"James White",NE,"14","3 out of 5 stars","+2"
"46",6,"Sony Michel",LAR,"11","4 out of 5 stars","-3"
"47",6,"J.D. McKissic",WAS,"9","3 out of 5 stars","+1"
"48",6,"Alexander Mattison",MIN,"7","3 out of 5 stars","-2"
"49",6,"Latavius Murray",NO,"6","2 out of 5 stars","-4"
"50",6,"Giovani Bernard",TB,"9","0 out of 5 stars","+3"
"51",6,"Tevin Coleman",NYJ,"6","4 out of 5 stars","0"
"52",6,"Rashaad Penny",SEA,"9","1 out of 5 stars","-2"
"53",7,"Darrel Williams",KC,"12","4 out of 5 stars","+4"
"54",7,"Malcolm Brown",MIA,"14","4 out of 5 stars","+15"
"55",7,"Tarik Cohen",CHI,"10","3 out of 5 stars","+3"
"56",7,"Carlos Hyde",JAC,"7","4 out of 5 stars","+34"
"57",7,"Damien Williams",CHI,"10","3 out of 5 stars","+3"
"58",7,"Salvon Ahmed",MIA,"14","4 out of 5 stars","+12"
"59",7,"Kenneth Gainwell",PHI,"14","3 out of 5 stars","+3"
"60",7,"Marlon Mack",IND,"14","4 out of 5 stars","-8"
"61",7,"Rhamondre Stevenson",NE,"14","3 out of 5 stars","-6"
"62",7,"Chuba Hubbard",CAR,"13","2 out of 5 stars","-8"
"63",7,"Darrynton Evans",TEN,"13","3 out of 5 stars","+10"
"64",7,"Justin Jackson",LAC,"7","4 out of 5 stars","+8"
"65",7,"Mark Ingram II",HOU,"10","4 out of 5 stars","-4"
"66",7,"Boston Scott",PHI,"14","3 out of 5 stars","+9"
"67",7,"Joshua Kelley",LAC,"7","4 out of 5 stars","+16"
"68",7,"Jerick McKinnon",KC,"12","4 out of 5 stars","+6"
"69",7,"Ty Johnson",NYJ,"6","4 out of 5 stars","-6"
"70",7,"Devontae Booker",NYG,"10","2 out of 5 stars","-6"
"71",7,"Benny Snell Jr.",PIT,"7","5 out of 5 stars","-4"
"72",7,"Anthony McFarland Jr.",PIT,"7","5 out of 5 stars","-7"
"73",8,"Wayne Gallman Jr.",FA,"-","-","+14"
"74",8,"Samaje Perine",CIN,"10","3 out of 5 stars","+18"
"75",8,"Matt Breida",BUF,"7","3 out of 5 stars","+28"
"76",8,"Justice Hill",BAL,"8","4 out of 5 stars","+24"
"77",8,"La'Mical Perine",NYJ,"6","4 out of 5 stars","+1"
"78",8,"Jeff Wilson Jr.",SF,"6","3 out of 5 stars","-1"
"79",8,"DeeJay Dallas",SEA,"9","1 out of 5 stars","+35"
"80",8,"Qadree Ollison",ATL,"6","2 out of 5 stars","0"
"81",8,"Xavier Jones",FA,"-","-","-25"
"82",8,"Ke'Shawn Vaughn",TB,"9","0 out of 5 stars","+11"
"83",8,"Jalen Richard",LV,"8","2 out of 5 stars","+5"
"84",8,"Rex Burkhead",HOU,"10","4 out of 5 stars","+31"
