tiers,pos,name,bye,rk,team,sos,ecr_vs_adp
10,WR,Mohamed Sanu,6,148,SF,5,-12
10,WR,Chris Conley,10,130,HOU,3,-13
10,WR,Damiere Byrd,10,144,CHI,3,-18
10,WR,Deonte Harris,6,123,NO,4,-19
10,WR,Adam Humphries,9,120,WAS,3,-23
10,WR,David Moore,13,136,CAR,5,-34
10,WR,Cordarrelle Patterson,6,122,ATL,4,-35
10,WR,Devin Duvernay,8,127,BAL,2,
10,WR,Auden Tate,10,129,CIN,2,
10,WR,Dede Westbrook,7,131,MIN,3,
10,WR,Ihmir Smith-Marsette,7,140,MIN,3,
10,WR,Isaiah McKenzie,7,142,BUF,3,
10,WR,Freddie Swain,9,146,SEA,1,
10,WR,Cedrick Wilson,7,147,DAL,1,
10,TE,Jesper Horsted,10,136,CHI,1,-88
10,TE,Ben Ellefson,7,129,JAC,4,
10,TE,Luke Stocker,13,131,TEN,2,
10,TE,Jason Croom,14,132,PHI,3,
10,TE,J.P. Holtz,10,135,CHI,1,
10,TE,Nick Bowers,8,139,LV,4,
10,TE,Ryan Becker,6,142,ATL,2,
10,TE,Stephen Carlson,13,143,CLE,2,
10,TE,Mitchell Wilcox,10,147,CIN,2,
10,TE,Dominique Dafney,13,148,GB,3,
10,RB,Ty Montgomery,6,123,NO,2,-15
10,RB,J.J. Taylor,14,117,NE,3,-33
10,RB,Travis Homer,9,112,SEA,1,
10,RB,Alex Collins,9,113,SEA,1,
10,RB,Kene Nwangwu,7,118,MIN,3,
10,RB,Kyle Juszczyk,6,119,SF,3,
10,RB,JaMycal Hasty,6,121,SF,3,
10,RB,D'Ernest Johnson,13,124,CLE,4,
10,RB,Jeremy McNichols,13,125,TEN,3,
10,RB,Gary Brightwell,10,130,NYG,2,
10,RB,Patrick Ricard,8,132,BAL,4,
10,RB,Raymond Calais,11,134,LAR,4,
10,RB,Alec Ingold,8,135,LV,2,
10,RB,C.J. Ham,7,136,MIN,3,
10,RB,Keith Smith,6,139,ATL,2,
11,WR,Demetric Felton,13,165,CLE,1,-22
11,WR,Trent Sherfield,6,175,SF,5,-23
11,WR,Zay Jones,8,173,LV,1,-25
11,WR,Shi Smith,13,161,CAR,5,-36
11,WR,Marquise Goodwin,10,151,CHI,3,-38
11,WR,Kelvin Harmon,9,154,WAS,3,
11,WR,Lil'Jordan Humphrey,6,155,NO,4,
11,WR,Simi Fehoko,7,156,DAL,1,
11,WR,Kalif Raymond,9,157,DET,1,
11,WR,Jaelon Darden,9,158,TB,2,
11,WR,Frank Darby,6,159,ATL,4,
11,WR,Braxton Berrios,6,160,NYJ,4,
11,WR,J.J. Arcega-Whiteside,14,166,PHI,3,
11,WR,Cameron Batson,13,167,TEN,3,
11,WR,Kenny Stills,7,168,BUF,3,
11,WR,Marquez Stevenson,7,169,BUF,3,
11,WR,Jakeem Grant Sr.,14,171,MIA,3,
11,WR,Christian Blake,6,177,ATL,4,
11,WR,Noah Brown,7,178,DAL,1,
11,WR,Tajae Sharpe,6,179,ATL,4,
11,WR,Gunner Olszewski,14,180,NE,4,
11,WR,Ray-Ray McCloud,7,181,PIT,2,
11,WR,K.J. Osborn,7,182,MIN,3,
11,TE,Eli Wolf,8,151,BAL,4,
11,TE,Noah Togiai,14,152,IND,4,
11,TE,Colin Thompson,13,154,CAR,4,
11,TE,Jake Breeland,8,155,BAL,4,
11,TE,Andrew Beck,11,156,DEN,4,
11,TE,Giovanni Ricci,13,157,CAR,4,
11,TE,Jack Stoll,14,160,PHI,3,
11,TE,Cole Hikutini,10,162,NYG,3,
11,TE,Sean McKeon,7,164,DAL,2,
11,RB,Trenton Cannon,13,142,CAR,2,
11,RB,Khari Blasingame,13,144,TEN,3,
11,RB,Jonathan Ward,12,146,ARI,3,
11,RB,Rico Dowdle,7,148,DAL,2,
11,RB,Brandon Bolden,14,149,NE,3,
11,RB,Theo Riddick,8,151,LV,2,
11,RB,Jakob Johnson,14,153,NE,3,
11,RB,Andy Janovich,13,154,CLE,4,
11,RB,Michael Burton,12,155,KC,4,
11,RB,Rodney Smith,13,157,CAR,2,
11,RB,Elijhaa Penny,10,159,NYG,2,
11,RB,Mekhi Sargent,13,160,TEN,3,
11,RB,Dwayne Washington,6,161,NO,2,
11,RB,Tre Harbison,13,162,CLE,4,
11,RB,Reggie Gilliam,7,165,BUF,3,
11,RB,Taiwan Jones,7,166,BUF,3,
11,RB,Alfred Morris,10,168,NYG,2,
11,RB,Bo Scarbrough,8,171,LV,2,
11,RB,Dontrell Hilliard,10,175,HOU,4,
11,RB,Lamar Miller,9,177,WAS,3,
12,WR,Mike Strachan,14,184,IND,5,-46
12,WR,Justin Watson,9,183,TB,2,
12,WR,Mike Thomas,10,187,CIN,2,
12,WR,KeeSean Johnson,12,189,ARI,2,
12,WR,Ben Skowronek,11,198,LAR,5,
12,WR,DaeSean Hamilton,11,199,DEN,4,
12,WR,Jamal Agnew,7,200,JAC,5,
12,WR,Andre Roberts,10,201,HOU,3,
12,WR,Racey McMath,13,203,TEN,3,
12,WR,Chad Hansen,9,204,DET,1,
12,WR,Diontae Spencer,11,205,DEN,4,
12,WR,Marcus Johnson,13,206,TEN,3,
12,WR,K.J. Hill Jr.,7,207,LAC,3,
12,WR,Malik Taylor,13,208,GB,1,
12,WR,James Proche,8,209,BAL,2,
12,WR,Dante Pettis,10,210,NYG,3,
12,WR,Isaiah Ford,14,211,MIA,3,
12,WR,Tavon Austin,7,213,JAC,5,
12,WR,Jake Kumerow,7,214,BUF,3,
12,WR,Chester Rogers,13,215,TEN,3,
12,WR,Ashton Dulin,14,218,IND,5,
