id,name,position,team,total_points,projected_total_points,rank
4039050,Devin Duvernay,WR,BAL,43.1,41.41,115
3931398,Bryce Love,RB,WSH,0.0,61.74,170
3116721,Jaylen Samuels,RB,PIT,11.9,53.67,122
2574511,Brandon Allen,QB,CIN,49.7,0.0,43
14922,Mohamed Sanu Sr.,WR,DET,35.5,0.0,123
3115314,Cam Sims,WR,WSH,70.2,0.0,91
2578533,Chris Conley,WR,JAX,77.1,89.43,84
3150744,Chase McLaughlin,K,NYJ,19.0,0.0,39
3048898,Elliott Fry,K,ATL,4.0,0.0,42
4045305,Ian Thomas,TE,CAR,30.5,78.32,58
3139602,D'Ernest Johnson,RB,CLE,19.5,18.76,104
2979520,C.J. Beathard,QB,SF,52.28,0.0,42
3123075,Braxton Berrios,WR,NYJ,78.8,13.42,82
-16030,Jaguars D/ST,D/ST,JAX,32.0,83.53,29
4258195,Donovan Peoples-Jones,WR,CLE,51.4,6.32,104
3932423,Miles Boykin,WR,BAL,60.1,69.46,99
3914328,Andy Isabella,WR,ARI,44.3,61.45,111
3052177,John Ross III,WR,CIN,2.7,56.91,199
10456,Marshawn Lynch,RB,None,0.0,0.0,171
16002,Kyle Juszczyk,RB,SF,72.1,29.7,58
16016,Kenny Stills,WR,BUF,25.9,51.77,134
3127211,Patrick Laird,RB,MIA,17.0,8.49,108
2573974,Tyler Ervin,RB,GB,20.6,11.55,101
14001,Colin Kaepernick,QB,None,0.0,0.0,78
11252,Joe Flacco,QB,NYJ,54.76,8.71,41
4029893,Antonio Gandy-Golden,WR,WSH,3.0,84.77,197
4037457,Travis Homer,RB,SEA,28.3,1.43,92
3127586,Jeremy McNichols,RB,TEN,37.9,0.0,83
14163,Tyrod Taylor,QB,LAC,9.02,89.61,62
3917962,Jace Sternberger,TE,GB,23.4,65.75,65
13199,Colt McCoy,QB,NYG,18.2,11.63,52
3040569,Trent Taylor,WR,SF,13.6,62.99,162
3116407,Mason Rudolph,QB,PIT,18.36,27.16,51
4038441,Justice Hill,RB,BAL,10.5,11.8,125
4039043,Collin Johnson,WR,JAX,50.2,3.41,107
4036416,Byron Pringle,WR,KC,34.5,8.14,125
3045260,Corey Clement,RB,PHI,18.5,22.61,106
4036378,Jordan Love,QB,GB,0.0,5.42,79
4035170,Marquez Callaway,WR,NO,31.8,3.74,129
4361606,Darwin Thompson,RB,KC,29.7,1.76,91
3115293,Kyle Allen,QB,WSH,45.0,5.35,44
3124900,Jake Luton,QB,JAX,28.26,22.64,46
4411193,Deonte Harris,WR,NO,37.7,25.73,120
2587819,Tyrell Williams,WR,DET,0.0,0.0,216
14875,Robert Griffin III,QB,BAL,2.58,13.85,67
4035222,Trayveon Williams,RB,CIN,19.2,21.79,105
3895785,Ben DiNucci,QB,DAL,6.96,0.0,65
2310331,Tyler Johnson,WR,TB,34.9,13.15,124
3125404,Jacob Hollister,TE,SEA,53.4,13.39,38
4035793,Quintez Cephus,WR,DET,56.9,25.62,101
14816,Kai Forbath,K,None,9.0,0.0,41
3892775,Jarrett Stidham,QB,NE,12.94,17.65,55
3124092,John Wolford,QB,LAR,12.84,10.05,56
14874,Andrew Luck,QB,None,0.0,0.0,80
2576336,Ameer Abdullah,RB,MIN,26.0,13.85,94
12471,Chase Daniel,QB,DET,12.16,11.73,57
3120303,Ross Dwelley,TE,SF,40.0,7.09,48
14886,Lamar Miller,RB,WSH,1.6,0.0,154
2582410,Tyler Kroft,TE,BUF,35.9,27.18,51
15853,Vance McDonald,TE,PIT,17.4,47.29,74
15009,Alfred Morris,RB,NYG,39.2,0.0,82
3127335,Ryan Nall,RB,CHI,16.7,28.35,109
2582139,Sam Ficken,K,None,52.0,105.92,32
