"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"28",5,"Jerry Jeudy",DEN,"11","4 out of 5 stars","+2"
"29",5,"Ja'Marr Chase",CIN,"10","2 out of 5 stars","-3"
"30",5,"Robby Anderson",CAR,"13","5 out of 5 stars","+1"
"31",5,"JuJu Smith-Schuster",PIT,"7","2 out of 5 stars","+1"
"32",5,"Courtland Sutton",DEN,"11","4 out of 5 stars","+2"
"33",5,"Tyler Boyd",CIN,"10","2 out of 5 stars","+4"
"34",5,"Brandin Cooks",HOU,"10","3 out of 5 stars","+5"
"35",5,"Deebo Samuel",SF,"6","5 out of 5 stars","0"
"36",5,"Corey Davis",NYJ,"6","4 out of 5 stars","+5"
"37",5,"Will Fuller V",MIA,"14","3 out of 5 stars","+5"
"38",5,"D.J. Chark Jr.",JAC,"7","5 out of 5 stars","0"
"39",5,"DeVonta Smith",PHI,"14","3 out of 5 stars","-6"
"40",5,"Antonio Brown",TB,"9","2 out of 5 stars","-4"
"41",5,"Laviska Shenault Jr.",JAC,"7","5 out of 5 stars","-1"
"42",6,"Jarvis Landry",CLE,"13","1 out of 5 stars","+1"
"43",6,"Curtis Samuel",WAS,"9","3 out of 5 stars","+3"
"44",6,"Mike Williams",LAC,"7","3 out of 5 stars","+1"
"45",6,"Michael Gallup",DAL,"7","1 out of 5 stars","+2"
"46",6,"Marvin Jones Jr.",JAC,"7","5 out of 5 stars","+7"
"47",6,"Michael Pittman Jr.",IND,"14","5 out of 5 stars","+1"
"48",6,"Jaylen Waddle",MIA,"14","3 out of 5 stars","-4"
"49",6,"Michael Thomas",NO,"6","4 out of 5 stars","-20"
"50",6,"Darnell Mooney",CHI,"10","3 out of 5 stars","+1"
"51",6,"DeVante Parker",MIA,"14","3 out of 5 stars","+7"
"52",6,"Marquise Brown",BAL,"8","2 out of 5 stars","+2"
"53",6,"Mecole Hardman",KC,"12","3 out of 5 stars","-3"
"54",6,"Russell Gage",ATL,"6","4 out of 5 stars","+3"
"55",7,"Henry Ruggs III",LV,"8","1 out of 5 stars","-3"
"56",7,"Elijah Moore",NYJ,"6","4 out of 5 stars","0"
"57",7,"Cole Beasley",BUF,"7","3 out of 5 stars","-2"
"58",7,"Jakobi Meyers",NE,"14","4 out of 5 stars","+4"
"59",7,"Nelson Agholor",NE,"14","4 out of 5 stars","+12"
"60",7,"Jalen Reagor",PHI,"14","3 out of 5 stars","0"
"61",7,"Sterling Shepard",NYG,"10","3 out of 5 stars","+5"
"62",7,"Rashod Bateman",BAL,"8","2 out of 5 stars","+7"
"63",7,"Rondale Moore",ARI,"12","2 out of 5 stars","+4"
"64",7,"T.Y. Hilton",IND,"14","5 out of 5 stars","0"
"65",7,"Gabriel Davis",BUF,"7","3 out of 5 stars","+11"
"66",7,"Tre'Quan Smith",NO,"6","4 out of 5 stars","+12"
"67",7,"Jamison Crowder",NYJ,"6","4 out of 5 stars","-4"
"68",7,"Parris Campbell",IND,"14","5 out of 5 stars","+16"
"69",7,"Emmanuel Sanders",BUF,"7","3 out of 5 stars","-4"
"70",7,"Bryan Edwards",LV,"8","1 out of 5 stars","0"
"71",7,"Terrace Marshall Jr.",CAR,"13","5 out of 5 stars","+1"
"72",7,"Christian Kirk",ARI,"12","2 out of 5 stars","+3"
"73",7,"John Brown",LV,"8","1 out of 5 stars","+1"
"74",7,"Amon-Ra St. Brown",DET,"9","1 out of 5 stars","+3"
"75",7,"A.J. Green",ARI,"12","2 out of 5 stars","-16"
"76",7,"Darius Slayton",NYG,"10","3 out of 5 stars","+6"
"77",7,"Marquez Callaway",NO,"6","4 out of 5 stars","-28"
"78",7,"Randall Cobb",GB,"13","1 out of 5 stars","-17"
"79",8,"Marquez Valdes-Scantling",GB,"13","1 out of 5 stars","-6"
"80",8,"Allen Lazard",GB,"13","1 out of 5 stars","0"
"81",8,"Sammy Watkins",BAL,"8","2 out of 5 stars","-13"
"82",8,"Tyrell Williams",DET,"9","1 out of 5 stars","+12"
"83",8,"KJ Hamler",DEN,"11","4 out of 5 stars","+22"
