id,name,position,team,total_points,projected_total_points,rank
3043225,Steven Mitchell Jr.,WR,HOU,4.7,6.36,181
3115255,Brandon Powell,WR,ATL,0.0,0.0,302
4217370,Cyril Grayson,WR,TB,0.8,5.29,213
3066074,Chad Hansen,WR,HOU,0.0,0.0,303
3123048,Brad Kaaya,QB,CIN,0.0,0.0,119
8627,Derek Anderson,QB,None,0.0,0.0,120
2577123,Devon Cajuste,TE,None,0.0,0.0,160
2513770,Neal Sterling,TE,KC,0.0,0.0,161
13555,Jeff Cumberland,TE,None,0.0,0.0,162
4411192,Brandon Dillon,TE,MIN,0.0,0.0,163
3144999,Henry Krieger-Coble,TE,None,0.0,0.0,164
14156,Niles Paul,TE,None,0.0,0.0,165
3129455,Donnie Ernsberger,TE,None,0.0,0.0,166
3051315,Jahad Thomas,RB,None,0.0,0.0,248
3040137,Derrick Willies,WR,None,0.0,0.0,304
15501,Bobby Rainey Jr.,RB,None,0.0,0.0,249
3049249,Lance Lenoir Jr.,WR,DAL,0.0,0.0,305
3053732,Jordan Chunn,RB,DAL,0.0,0.0,250
2515270,Michael Burton,RB,WSH,0.0,0.0,251
2974212,Jhurell Pressley,RB,None,0.0,0.0,252
2577023,Terron Ward,RB,None,0.0,0.0,253
2970457,Keenan Reynolds,WR,None,0.0,0.0,306
15457,Travaris Cadet,RB,None,0.0,0.0,254
3138760,Ventell Bryant,WR,DAL,8.0,0.0,167
2515662,Jordan Taylor,WR,None,0.0,0.0,307
16345,Nick Williams,WR,None,0.0,0.0,308
4198679,Krishawn Hogan,WR,NO,0.9,0.0,212
2577128,Kevin Hogan,QB,None,0.0,0.0,121
15187,Austin Davis,QB,None,0.0,0.0,122
3052600,Davis Webb,QB,BUF,0.0,0.0,123
3116144,Clayton Thorson,QB,PHI,0.0,0.0,124
15836,Gavin Escobar,TE,None,0.0,0.0,167
3128439,Jordan Franks,TE,CIN,0.0,0.0,168
2580052,David Morgan,TE,MIN,0.0,0.0,169
3046413,A.J. Derby,TE,None,0.0,0.0,170
3894883,Isaac Whitney,WR,HOU,0.0,0.0,309
2979825,Tion Green,RB,None,0.0,0.0,255
2578553,Malcolm Mitchell,WR,None,0.0,0.0,310
3043216,Justin Davis,RB,None,0.0,0.0,256
15885,Charles Johnson,WR,None,0.0,0.0,311
3052470,DeAngelo Yancey,WR,TEN,0.0,0.0,312
3052066,Vince Mayle,TE,None,0.0,0.0,171
2987440,Garrett Griffin,TE,NO,0.0,0.0,172
2512523,Will Tye,TE,None,0.0,0.0,173
15845,Justin Hunter,WR,None,0.0,0.0,313
3139591,Quinton Flowers,RB,None,0.0,0.0,257
4069806,Jason Moore,WR,LAC,5.3,0.0,178
2576952,Nelson Spruce,WR,None,0.0,0.0,314
11318,Harry Douglas,WR,None,0.0,0.0,315
2977667,Zac Brooks,RB,None,0.0,0.0,258
2977631,Jehu Chesson,WR,WSH,0.0,0.0,316
14583,Kamar Aiken,WR,None,0.0,0.0,317
2576873,Daniel Lasco,RB,NO,0.0,0.0,259
2574918,Tommylee Lewis,WR,DET,0.0,0.0,318
2516316,Malcolm Johnson,RB,GB,0.0,0.0,260
3116563,Shaun Wilson,RB,TEN,0.0,0.0,261
3059918,Rodney Adams,WR,IND,0.0,0.0,319
3895789,Quadree Henderson,WR,PIT,0.0,0.0,320
3041097,Tanner Lee,QB,None,0.0,0.0,125
16323,MarQueis Gray,TE,None,0.0,0.0,174
2968204,Cole Hikutini,TE,MIN,0.0,0.0,175
3951441,Codey McElroy,TE,TB,3.5,0.0,100
3050481,Tanner Hudson,TE,TB,3.6,2.35,99
4002672,Moritz Bohringer,TE,CIN,0.0,0.0,176
2580330,Temarrick Hemingway,TE,CAR,0.0,0.0,177
16797,Troy Niklas,TE,None,0.0,0.0,178
3915403,Tim White,WR,NYJ,0.0,0.0,321
14285,Chris Matthews,WR,None,0.0,0.0,322
16832,Michael Campanaro,WR,None,0.0,0.0,323
16889,Andre Williams,RB,None,0.0,0.0,262
2581598,Terrell Watson,RB,None,0.0,0.0,263
2973052,Daniel Braverman,WR,None,0.0,0.0,324
2971435,Russell Hansbrough,RB,WSH,0.0,0.0,264
3045375,Freddie Stevenson,RB,None,0.0,0.0,265
3066147,Jawill Davis,WR,GB,0.0,0.0,325
2978201,Kenny Lawler,WR,None,0.0,0.0,326
16836,Jared Abbrederis,WR,None,0.0,0.0,327
3043841,Tanner Gentry,WR,None,0.0,0.0,328
14914,Brian Quick,WR,None,0.0,0.0,329
15351,Derrick Coleman,RB,None,0.0,0.0,266
2577692,Brandon Wilds,RB,SF,0.0,0.0,267
3051923,Stacy Coley,WR,None,0.0,0.0,330
3043144,Brendan Langley,WR,None,0.0,0.0,331
2470916,Matt Lengel,TE,IND,0.0,0.0,179
4081127,Antony Auclair,TE,TB,1.6,0.0,107
2476373,Jerome Cunningham,TE,WSH,0.0,0.0,180
2567213,Hakeem Valles,TE,None,0.0,0.0,181
15515,Sean McGrath,TE,None,0.0,0.0,182
2576449,Austin Traylor,TE,DET,0.0,0.0,183
2577731,Alex Ellis,TE,PHI,0.0,0.0,184
15983,Cobi Hamilton,WR,None,0.0,0.0,332
2973626,C.J. Board,WR,JAX,4.1,0.0,187
2576498,Charone Peake,WR,JAX,0.0,0.0,333
3918026,Devante Mays,RB,JAX,0.0,0.0,268
3115443,Cody Hollister,WR,TEN,2.3,1.78,204
2576785,Rashad Greene,WR,None,0.0,0.0,334
4043161,Antoine Wesley,WR,BAL,0.0,0.0,335
3124079,Cam Phillips,WR,None,0.0,0.0,336
3128362,Ishmael Zamora,WR,None,0.0,0.0,337
2575553,Kenneth Farrow,RB,None,0.0,0.0,269
15911,Tavarres King,WR,None,0.0,0.0,338
3122935,Travis Rudolph,WR,None,0.0,0.0,339
2975817,Paul McRoberts,WR,None,0.0,0.0,340
